Date,price
1994-03-18,471.06
1994-03-21,468.54
1994-03-22,468.80
1994-03-23,468.54
1994-03-24,464.35
1994-03-25,460.58
1994-03-28,460.00
1994-03-29,452.48
1994-03-30,445.55
1994-03-31,445.77
1994-04-04,438.92
1994-04-05,448.29
1994-04-06,448.05
1994-04-07,450.88
1994-04-08,447.10
1994-04-11,449.87
1994-04-12,447.57
1994-04-13,446.26
1994-04-14,446.38
1994-04-15,446.18
1994-04-18,442.46
1994-04-19,442.54
1994-04-20,441.96
1994-04-21,448.73
1994-04-22,447.63
1994-04-25,452.71
1994-04-26,451.87
1994-04-28,449.10
1994-04-29,450.91
1994-05-02,453.02
1994-05-03,453.03
1994-05-04,451.72
1994-05-05,451.38
1994-05-06,447.82
1994-05-09,442.32
1994-05-10,446.01
1994-05-11,441.49
1994-05-12,443.75
1994-05-13,444.14
1994-05-16,444.49
1994-05-17,449.37
1994-05-18,453.69
1994-05-19,456.48
1994-05-20,454.92
1994-05-23,453.20
1994-05-24,454.81
1994-05-25,456.34
1994-05-26,457.06
1994-05-27,457.33
1994-05-31,456.50
1994-06-01,457.63
1994-06-02,457.65
1994-06-03,460.13
1994-06-06,458.88
1994-06-07,458.21
1994-06-08,457.06
1994-06-09,457.86
1994-06-10,458.67
1994-06-13,459.10
1994-06-14,462.37
1994-06-15,460.61
1994-06-16,461.93
1994-06-17,458.45
1994-06-20,455.48
1994-06-21,451.34
1994-06-22,453.09
1994-06-23,449.63
1994-06-24,442.80
1994-06-27,447.31
1994-06-28,446.07
1994-06-29,447.63
1994-06-30,444.27
1994-07-01,446.20
1994-07-05,446.37
1994-07-06,446.13
1994-07-07,448.38
1994-07-08,449.55
1994-07-11,448.06
1994-07-12,447.95
1994-07-13,448.73
1994-07-14,453.41
1994-07-15,454.16
1994-07-18,455.22
1994-07-19,453.86
1994-07-20,451.60
1994-07-21,452.61
1994-07-22,453.11
1994-07-25,454.25
1994-07-26,453.36
1994-07-27,452.57
1994-07-28,454.24
1994-07-29,458.26
1994-08-01,461.01
1994-08-02,460.56
1994-08-03,461.45
1994-08-04,458.40
1994-08-05,457.09
1994-08-08,457.89
1994-08-09,457.92
1994-08-10,460.30
1994-08-11,458.88
1994-08-12,461.94
1994-08-15,461.23
1994-08-16,465.01
1994-08-17,465.17
1994-08-18,463.17
1994-08-19,463.68
1994-08-22,462.32
1994-08-23,464.51
